,Sentence,Tags
299,My fever has finally gone and now all I feel is slight fatigue,"fever, fatigue"
320,Im so happy that lily didn’t have any palpitations tonight. I was so worried after yesterday. I don’t think she's slept much recently though and she seems tired,"lack of sleep, fatigue"
247,lily was in such an irratable mood yesterday and cried so many times at night. She hardly slept and I didn’t really either,"mood change, lack of sleep"
417,"I thought this was going to be silly at first but I'm really glad I'm recording myself each day. It's been super helpful seeing these symptoms tracked in an organized way that doesn't require me writing down a ton of notes into my notebook that I misplace all the time anyways. Anywho, today was an average day. They had a pretty mild level of fatigue constantly throughout the day. They only had one seizure episode around noon but other than that have been able to go about their day.",fatigue
11,"I feel nausea 10 seconds right after I eat a meal and feel a gagging feeling for about
10 seconds and then the feeling goes away. I sometimes feel some discomfort, but nothing else.",
437,"It becomes tough to manage when seizures occur, I feel very bad for my child, to see them going through this every other day. It really is disheartening. I hope the new meds the doctor prescribed us yesterday helps. He did say that they reduced the frequency of seizures for a couple of patients, so I am very hopeful.",
401,Today was a good day! They had a decent amount of energy and their fatigue was minimal. It's rare that we have a day like this.,fatigue
385,"im worried that erics new medication isnt suiting him well. He's seemed so different today, kind of groggy and in his own world.
His eyes are dilated too","dilated pupils, mood change"
163,charlie has an exam tomorrow so hes seemed much more stressed and anxious than usual today,anxiety
43,"Ive had a lingering cold for two weeks and its still not gone
",
325,I think tom had an allergic reaction to something he ate yesterday. He has a rash on his thigh and it doesn’t look good at all,skin rash
338,"tom fell over while we walked outside today and started bleeding a lot. We were able to get a bandaid on fast, but he got pretty bruised and hurt","bleeding, body pain"
446,Headaches headaches headaches. I really hope the new medication kicks in soon and can help reduce these headaches because they're really taking a toll on my kid. They can't do much of anything when their head is hurting so much!,headache
185,tom seemed more stressed than usual this evening,mood change
452,"You know, every day is such a different experience that I hadn't even thought of what symptoms were present yet today. Let's see. Hmmm I think no wait that was yesterday. What even went on today? Oh right! There was that bought of headaches right after breakfast that lasted about 30 minutes. I didn't really think much of them after though since they were so mild and the kid really seemed fine afterwards. I guess in terms of symptoms that's probably it for today.",headache
403,Nothing out of the ordinary today. They had their typical spell of exhaustion leading up to the first seizure today. Same thing before another one earlier tonight.,fatigue
79,The diarrhea just hasn't stopped as yet I went to the bathroom for a third time and honestly I'm exhausted at this point,"diarrhea, fatigue"
