,Sentence,Tags,Extracted Sentences,Extracted Tags
299,My fever has finally gone and now all I feel is slight fatigue,fatigue,"['my fever has finally gone', 'slight fatigue', 'my fever has finally gone and now all i feel is slight fatigue', 'fatigue']","{'fatigue': 0.6764286756515503, 'fever': 0.5796666145324707, 'mood change': 0.1886589378118515, 'lack of sleep': 0.11465431749820709}"
320,Im so happy that lily didn’t have any palpitations tonight. I was so worried after yesterday. I don’t think she's slept much recently though and she seems tired,lack of sleep,"['she seems tired', 'lily didn’t have any palpitations tonight.', 'after yesterday.', 'lily didn’t have any palpitations', 'lily']","{'fatigue': 0.451276570558548, 'lack of sleep': 0.30066508054733276, 'dilated pupils': 0.28277361392974854, 'racing heart': 0.2037384808063507, 'mood change': 0.18702106177806854, 'hiccups': 0.12933027744293213, 'lack of concentration': 0.11689891666173935}"
247,lily was in such an irratable mood yesterday and cried so many times at night. She hardly slept and I didn’t really either,lack of sleep,"['she hardly slept', 'cried so many times at night.', 'hardly slept', 'lily was in such an irratable', 'lily', 'cried']","{'lack of sleep': 0.6303433775901794, 'dilated pupils': 0.28277361392974854, 'cough': 0.24764518439769745, 'mood change': 0.21605181694030762, 'fatigue': 0.12301971763372421, 'anxiety': 0.10131014883518219}"
417,"I thought this was going to be silly at first but I'm really glad I'm recording myself each day. It's been super helpful seeing these symptoms tracked in an organized way that doesn't require me writing down a ton of notes into my notebook that I misplace all the time anyways. Anywho, today was an average day. They had a pretty mild level of fatigue constantly throughout the day. They only had one seizure episode around noon but other than that have been able to go about their day.",fatigue,"['they had a pretty mild level of fatigue', 'they only had one seizure episode around noon', 'they had a pretty mild level of fatigue constantly throughout the day.', 'fatigue']","{'fatigue': 0.7803612351417542, 'dilated pupils': 0.23848684132099152, 'mood change': 0.11536679416894913, 'lack of sleep': 0.11465431749820709}"
11,"I feel nausea 10 seconds right after I eat a meal and feel a gagging feeling for about
10 seconds and then the feeling goes away. I sometimes feel some discomfort, but nothing else. ",,"['10 seconds', 'the feeling goes away.', 'nausea', 'gagging feeling for about 10 seconds', 'i sometimes feel some discomfort,', 'nausea 10 seconds', 'nausea 10 seconds right after i eat a meal and feel a gagging', 'sometimes feel some discomfort,']","{'vomiting': 0.5494722723960876, 'mood change': 0.4816727638244629, 'body pain': 0.20456209778785706, 'appetite change': 0.1850723773241043, 'hiccups': 0.1547747254371643, 'dilated pupils': 0.12182944267988205}"
437,"It becomes tough to manage when seizures occur, I feel very bad for my child, to see them going through this every other day. It really is disheartening. I hope the new meds the doctor prescribed us yesterday helps. He did say that they reduced the frequency of seizures for a couple of patients, so I am very hopeful.",fever,"['they reduced the frequency of seizures', 'they reduced the frequency of seizures for a couple of patients,', 'it becomes tough to manage when seizures occur,', 'seizures', 'it really is disheartening.']","{'dilated pupils': 0.4032514989376068, 'poor coordination': 0.27891141176223755, 'fatigue': 0.20230215787887573, 'mood change': 0.18832093477249146, 'hiccups': 0.1729176640510559, 'lack of concentration': 0.10333921760320663}"
401,Today was a good day! They had a decent amount of energy and their fatigue was minimal. It's rare that we have a day like this.,fatigue,"['they had a decent amount of energy', 'minimal.', 'they had a decent amount of energy and their fatigue was minimal.', 'their fatigue was minimal.', ""it's rare"", 'fatigue']","{'fatigue': 0.7050682306289673, 'mood change': 0.28197211027145386, 'racing heart': 0.15686936676502228, 'hiccups': 0.14491181075572968, 'dilated pupils': 0.12012095004320145, 'lack of concentration': 0.11683326214551926, 'lack of sleep': 0.11465431749820709}"
385,"im worried that erics new medication isnt suiting him well. He's seemed so different today, kind of groggy and in his own world.
His eyes are dilated too",dilated pupils,"['erics new medication', 'his eyes are dilated', ""he's seemed so different today,"", 'his eyes are dilated too']","{'dilated pupils': 0.8070646524429321, 'mood change': 0.6454431414604187}"
163,charlie has an exam tomorrow so hes seemed much more stressed and anxious than usual today,anxiety,"['hes seemed much more stressed and anxious', 'charlie has an exam', 'an exam', 'charlie has an exam tomorrow']","{'mood change': 0.47082439064979553, 'anxiety': 0.3314109146595001, 'dilated pupils': 0.270730584859848, 'hiccups': 0.12396149337291718, 'poor coordination': 0.1066812127828598}"
43,"Ive had a lingering cold for two weeks and its still not gone
",,"['a lingering cold for two weeks', 'not gone', 'lingering cold', 'ive had a lingering cold for two weeks', 'cold']","{'sore throat': 0.34416985511779785, 'hiccups': 0.2680257558822632, 'mood change': 0.26581236720085144, 'body pain': 0.19230623543262482, 'congestion': 0.12295541912317276}"
